Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_Mean,CV_Std
SVM,0.8829676071055381,0.8781467513829804,0.8829676071055381,0.8693392857205218,0.8563845898660052,0.89206261718577,0.007300473728079887
KNN,0.9007314524555904,0.8958408652342706,0.9007314524555904,0.8955437920955163,0.8989340987437077,0.9118295497605843,0.008722278351937519
Random Forest,0.9143155694879833,0.9137766487391608,0.9143155694879833,0.9072200467494785,0.9243484155716779,0.915595734314946,0.00877826875480265
